interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
42-36-41-76	282cd41914b5485ab6a15ec8c14dccf0	100	ms_int2	1	0	0	0	0	00.00:09:59	0
07-62-27-71	2877ef7ba7ed4df095148d1b25fce86b	100	ms_int20	1	0	0	0	0	00.00:10:05	0
23-68-98-23	2afc5891429c46bd95b70d450a07d497	100	ms_int21	1	0	0	0	0	00.00:02:17	0
48-36-40-35	32213cb5fbd64922bbfa232c04591c75	100	ms_int21	1	0	0	0	0	00.00:01:48	0
60-23-94-51	35edce83e4bc4ca3acf7494b39617776	100	ms_int21	1	0	0	0	0	00.00:01:42	0
05-06-94-67	364d9420cbfd409bb471eaad450a3a41	100	ms_int2	1	0	0	0	0	00.00:02:40	0
18-89-01-66	37bab2a6a482436a8808284bc1c627ea	100	ms_int21	1	0	0	0	0	00.00:01:15	1
15-81-01-30	395bb41449bc4040abff6bab46efd22c	100	ms_int2	1	0	0	0	0	00.00:01:23	0
78-05-74-62	3a5ccd1cadeb460f8ea09533ba8f0161	100	ms_int2	1	0	0	0	0	00.00:03:38	0
38-74-25-67	3c1f1cae622b483c9800c2fe2f8d48c7	100	ms_int4	1	0	0	0	0	00.00:03:28	0
